S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,TimeSlot,STD_MinOfDay,STA_MinOfDay,DepartureDelayMin,ArrivalDelayMin,SchedBlockMin,ActualBlockMin,Year,Month,Day,DayOfWeek,IsWeekend,Unnamed: 2
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),01:22:00,11:30:00,12:04:00,13:20:00,13:25:00,9AM - 12PM,690.0,800.0,34.0,5.0,110.0,81.0,2025,7,19,5,1,
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCQ),01:18:00,11:30:00,14:01:00,13:20:00,15:20:00,9AM - 12PM,690.0,800.0,151.0,120.0,110.0,79.0,2025,7,19,5,1,
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCH),01:20:00,11:30:00,11:35:00,13:20:00,12:55:00,9AM - 12PM,690.0,800.0,5.0,-25.0,110.0,80.0,2025,7,19,5,1,
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCB),01:22:00,11:30:00,11:55:00,13:20:00,13:17:00,9AM - 12PM,690.0,800.0,25.0,-3.0,110.0,82.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TQP),01:45:00,11:40:00,12:20:00,14:00:00,14:05:00,9AM - 12PM,700.0,840.0,40.0,5.0,140.0,105.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TQE),01:47:00,11:40:00,11:49:00,14:00:00,13:35:00,9AM - 12PM,700.0,840.0,9.0,-25.0,140.0,106.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TNS),01:46:00,11:40:00,12:16:00,14:00:00,14:02:00,9AM - 12PM,700.0,840.0,36.0,2.0,140.0,106.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TQC),01:49:00,11:40:00,12:11:00,14:00:00,14:00:00,9AM - 12PM,700.0,840.0,31.0,0.0,140.0,109.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TQT),01:41:00,11:40:00,13:16:00,14:00:00,14:57:00,9AM - 12PM,700.0,840.0,96.0,57.0,140.0,101.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-EXU),01:42:00,11:40:00,11:56:00,14:00:00,13:38:00,9AM - 12PM,700.0,840.0,16.0,-22.0,140.0,102.0,2025,7,19,5,1,
52.0,AI2419,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TNS),01:42:00,11:40:00,11:59:00,14:00:00,13:41:00,9AM - 12PM,700.0,840.0,19.0,-19.0,140.0,102.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQH),02:27:00,11:40:00,12:09:00,14:30:00,14:36:00,9AM - 12PM,700.0,870.0,29.0,6.0,170.0,147.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-ATV),02:23:00,11:40:00,12:00:00,14:30:00,14:23:00,9AM - 12PM,700.0,870.0,20.0,-7.0,170.0,143.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQL),02:31:00,11:40:00,12:21:00,14:30:00,14:53:00,9AM - 12PM,700.0,870.0,41.0,23.0,170.0,152.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQE),02:32:00,11:40:00,12:10:00,14:30:00,14:42:00,9AM - 12PM,700.0,870.0,30.0,12.0,170.0,152.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQC),02:28:00,11:40:00,13:11:00,14:30:00,15:39:00,9AM - 12PM,700.0,870.0,91.0,69.0,170.0,148.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TQB),02:29:00,11:40:00,11:46:00,14:30:00,14:15:00,9AM - 12PM,700.0,870.0,6.0,-15.0,170.0,149.0,2025,7,19,5,1,
53.0,AI2471,2025-07-19,Mumbai (BOM),Kolkata (CCU),A20N (VT-TNF),02:26:00,11:40:00,12:06:00,14:30:00,14:33:00,9AM - 12PM,700.0,870.0,26.0,3.0,170.0,147.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCB),—,11:45:00,13:03:00,19:50:00,20:22:00,9AM - 12PM,705.0,1190.0,78.0,32.0,485.0,439.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCG),04:54:00,11:45:00,11:52:00,19:50:00,19:16:00,9AM - 12PM,705.0,1190.0,7.0,-34.0,485.0,444.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCC),04:52:00,11:45:00,12:14:00,19:50:00,19:36:00,9AM - 12PM,705.0,1190.0,29.0,-14.0,485.0,442.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCP),05:00:00,11:45:00,12:14:00,19:50:00,19:44:00,9AM - 12PM,705.0,1190.0,29.0,-6.0,485.0,450.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCN),05:03:00,11:45:00,13:43:00,19:50:00,21:15:00,9AM - 12PM,705.0,1190.0,118.0,85.0,485.0,452.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCO),04:42:00,11:45:00,11:59:00,19:50:00,19:11:00,9AM - 12PM,705.0,1190.0,14.0,-39.0,485.0,432.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCS),05:15:00,11:45:00,12:12:00,19:50:00,19:57:00,9AM - 12PM,705.0,1190.0,27.0,7.0,485.0,465.0,2025,7,19,5,1,
54.0,SQ421,2025-07-19,Mumbai (BOM),Singapore (SIN),B78X (9V-SCL),04:53:00,11:45:00,11:57:00,19:50:00,19:20:00,9AM - 12PM,705.0,1190.0,12.0,-30.0,485.0,443.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ICQ),01:29:00,11:50:00,12:04:00,14:05:00,13:33:00,9AM - 12PM,710.0,845.0,14.0,-32.0,135.0,89.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-IMB),01:33:00,11:50:00,12:41:00,14:05:00,14:13:00,9AM - 12PM,710.0,845.0,51.0,8.0,135.0,92.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ILD),01:36:00,11:50:00,12:19:00,14:05:00,13:55:00,9AM - 12PM,710.0,845.0,29.0,-10.0,135.0,96.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-IRY),01:33:00,11:50:00,12:18:00,13:50:00,13:51:00,9AM - 12PM,710.0,830.0,28.0,1.0,120.0,93.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-IBY),01:35:00,11:50:00,13:33:00,14:05:00,15:09:00,9AM - 12PM,710.0,845.0,103.0,64.0,135.0,96.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ILH),01:38:00,11:50:00,12:25:00,14:05:00,14:03:00,9AM - 12PM,710.0,845.0,35.0,-2.0,135.0,98.0,2025,7,19,5,1,
55.0,6E5206,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-IML),01:38:00,11:50:00,12:04:00,13:50:00,13:42:00,9AM - 12PM,710.0,830.0,14.0,-8.0,120.0,98.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-ICW),01:06:00,11:55:00,12:50:00,13:35:00,13:56:00,9AM - 12PM,715.0,815.0,55.0,21.0,100.0,66.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-ILO),01:08:00,11:55:00,12:18:00,13:35:00,13:26:00,9AM - 12PM,715.0,815.0,23.0,-9.0,100.0,68.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-IML),01:11:00,11:55:00,12:34:00,13:35:00,13:46:00,9AM - 12PM,715.0,815.0,39.0,11.0,100.0,72.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-ILG),01:15:00,11:55:00,12:25:00,13:35:00,13:40:00,9AM - 12PM,715.0,815.0,30.0,5.0,100.0,75.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-IUO),01:06:00,11:55:00,14:00:00,13:35:00,15:06:00,9AM - 12PM,715.0,815.0,125.0,91.0,100.0,66.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-ICG),01:11:00,11:55:00,12:07:00,13:35:00,13:17:00,9AM - 12PM,715.0,815.0,12.0,-18.0,100.0,70.0,2025,7,19,5,1,
56.0,6E5097,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A21N (VT-ICG),01:05:00,11:55:00,12:17:00,13:35:00,13:22:00,9AM - 12PM,715.0,815.0,22.0,-13.0,100.0,65.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A321 (VT-PPV),01:31:00,12:00:00,12:27:00,13:45:00,13:59:00,9AM - 12PM,720.0,825.0,27.0,14.0,105.0,92.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A20N (VT-RTL),01:33:00,12:00:00,12:15:00,13:45:00,13:48:00,9AM - 12PM,720.0,825.0,15.0,3.0,105.0,93.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A20N (VT-RTN),01:34:00,12:00:00,12:29:00,13:45:00,14:03:00,9AM - 12PM,720.0,825.0,29.0,18.0,105.0,94.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A20N (VT-RTN),01:31:00,12:00:00,12:29:00,13:45:00,14:00:00,9AM - 12PM,720.0,825.0,29.0,15.0,105.0,91.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A20N (VT-RTK),01:29:00,12:00:00,13:35:00,13:45:00,15:04:00,9AM - 12PM,720.0,825.0,95.0,79.0,105.0,89.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A20N (VT-RTN),01:36:00,12:00:00,12:05:00,13:45:00,13:41:00,9AM - 12PM,720.0,825.0,5.0,-4.0,105.0,96.0,2025,7,19,5,1,
57.0,AI2503,2025-07-19,Mumbai (BOM),Coimbatore (CJB),A20N (VT-EXQ),01:27:00,12:00:00,12:19:00,13:45:00,13:47:00,9AM - 12PM,720.0,825.0,19.0,2.0,105.0,88.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A320 (VT-IAR),01:31:00,12:00:00,12:16:00,14:00:00,13:46:00,9AM - 12PM,720.0,840.0,16.0,-14.0,120.0,90.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A320 (VT-IAX),01:33:00,12:00:00,12:32:00,14:00:00,14:04:00,9AM - 12PM,720.0,840.0,32.0,4.0,120.0,92.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A20N (VT-IQG),01:31:00,12:00:00,12:37:00,14:00:00,14:08:00,9AM - 12PM,720.0,840.0,37.0,8.0,120.0,91.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A20N (VT-IIH),01:38:00,12:00:00,12:27:00,14:00:00,14:04:00,9AM - 12PM,720.0,840.0,27.0,4.0,120.0,97.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A20N (VT-IIS),01:32:00,12:00:00,13:48:00,14:00:00,15:19:00,9AM - 12PM,720.0,840.0,108.0,79.0,120.0,91.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A20N (VT-IVY),01:30:00,12:00:00,12:04:00,14:00:00,13:34:00,9AM - 12PM,720.0,840.0,4.0,-26.0,120.0,90.0,2025,7,19,5,1,
58.0,6E5276,2025-07-19,Mumbai (BOM),Gwalior (GWL),A20N (VT-IVY),01:29:00,12:00:00,12:09:00,14:00:00,13:37:00,9AM - 12PM,720.0,840.0,9.0,-23.0,120.0,88.0,2025,7,19,5,1,
