S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,TimeSlot,STD_MinOfDay,STA_MinOfDay,DepartureDelayMin,ArrivalDelayMin,SchedBlockMin,ActualBlockMin,Year,Month,Day,DayOfWeek,IsWeekend,Unnamed: 2
44.0,6E5307,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-IMI),00:46:00,11:10:00,11:47:00,12:35:00,12:34:00,9AM - 12PM,670.0,755.0,37.0,-1.0,85.0,47.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Bareilly (BEK),A20N (VT-IQO),01:55:00,11:10:00,11:53:00,13:40:00,13:48:00,9AM - 12PM,670.0,820.0,43.0,8.0,150.0,115.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Agra (AGR),A20N (VT-IIH),01:37:00,11:10:00,11:20:00,13:20:00,12:57:00,9AM - 12PM,670.0,800.0,10.0,-23.0,130.0,97.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Bareilly (BEK),A20N (VT-IQF),01:58:00,11:10:00,11:37:00,13:40:00,13:36:00,9AM - 12PM,670.0,820.0,27.0,-4.0,150.0,119.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Agra (AGR),A20N (VT-IIW),01:54:00,11:10:00,11:35:00,13:20:00,13:29:00,9AM - 12PM,670.0,800.0,25.0,9.0,130.0,114.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Bareilly (BEK),A20N (VT-IPD),02:00:00,11:10:00,13:41:00,13:40:00,15:41:00,9AM - 12PM,670.0,820.0,151.0,121.0,150.0,120.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Bareilly (BEK),A20N (VT-IIX),01:54:00,11:10:00,11:21:00,13:40:00,13:14:00,9AM - 12PM,670.0,820.0,11.0,-26.0,150.0,113.0,2025,7,19,5,1,
45.0,6E5316,2025-07-19,Mumbai (BOM),Agra (AGR),A20N (VT-ITV),01:28:00,11:10:00,11:50:00,13:20:00,13:17:00,9AM - 12PM,670.0,800.0,40.0,-3.0,130.0,87.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-IWT),01:42:00,11:15:00,11:57:00,13:30:00,13:39:00,9AM - 12PM,675.0,810.0,42.0,9.0,135.0,102.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-ICM),01:43:00,11:15:00,11:23:00,13:30:00,13:06:00,9AM - 12PM,675.0,810.0,8.0,-24.0,135.0,103.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-ICH),01:46:00,11:15:00,11:40:00,13:30:00,13:26:00,9AM - 12PM,675.0,810.0,25.0,-4.0,135.0,106.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCM),01:43:00,11:15:00,11:39:00,13:30:00,13:22:00,9AM - 12PM,675.0,810.0,24.0,-8.0,135.0,103.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-IWV),01:41:00,11:15:00,13:49:00,13:30:00,15:30:00,9AM - 12PM,675.0,810.0,154.0,120.0,135.0,101.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),01:43:00,11:15:00,11:30:00,13:30:00,13:13:00,9AM - 12PM,675.0,810.0,15.0,-17.0,135.0,103.0,2025,7,19,5,1,
46.0,6E6827,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),01:38:00,11:15:00,11:52:00,13:30:00,13:30:00,9AM - 12PM,675.0,810.0,37.0,0.0,135.0,98.0,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT76 (VT-RKL),00:44:00,11:15:00,13:31:00,12:20:00,14:15:00,9AM - 12PM,675.0,740.0,136.0,115.0,65.0,44.0,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT7,—,13:50:00,,14:55:00,13:50:00,9AM - 12PM,830.0,895.0,,-65.0,65.0,,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT76 (VT-RKL),00:43:00,11:15:00,13:14:00,12:20:00,13:57:00,9AM - 12PM,675.0,740.0,119.0,97.0,65.0,43.0,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT7,—,13:50:00,,14:55:00,13:50:00,9AM - 12PM,830.0,895.0,,-65.0,65.0,,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT76 (VT-AIY),00:43:00,11:15:00,14:08:00,12:20:00,14:51:00,9AM - 12PM,675.0,740.0,173.0,151.0,65.0,43.0,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT7,—,11:15:00,,12:20:00,11:15:00,9AM - 12PM,675.0,740.0,,-65.0,65.0,,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT7,—,13:50:00,,14:55:00,13:50:00,9AM - 12PM,830.0,895.0,,-65.0,65.0,,2025,7,19,5,1,
47.0,9I623,2025-07-19,Mumbai (BOM),Diu (DIU),AT76 (VT-AIY),00:44:00,11:15:00,16:10:00,12:20:00,16:54:00,9AM - 12PM,675.0,740.0,295.0,274.0,65.0,44.0,2025,7,19,5,1,
